commentaire,sentiment
#nada0074 Jomo3a mobaraka inchallah 3liya we 3la la famille dyali awalan 9abla koli shay2.,Positive
@nohita123 @Anyssa_Ch la daba homa li ghadi ykhtaro hna khas nsd3ohom b smit ibtissam,Neutral
@sansuuna matbkhlich 3lina wakha ma3rt fin kati7o 3la had la9atat hhhh,Neutral
@aminattttta o soltana fella wa3dat ibtissam boghniya,Neutral
@Ihab_Amir ihaaab nta tstaleel la9ab o nta charaftii l maghreeb tkp pas hna mftakhriin biiik wlah ila raak charaf l mdint asefi kan7ma9 3lik,Positive
@greenadilaida @FatihiW Merehba khouya adil chi poisson au four mais pas rfissa ma dakhlach 3endi f le menu diali ma ka nete9ach l hajja li ma ka ne3erefech liha 😎,Positive
"Fach l prof dyal communication katsm3ek glti ""un video"" https://t.co/cDclUqeKuT",Neutral
@91Grosminey @IbtissamTiskat @fatiinatiskat @ali__shaddad @FullaSoltana ana tasdamt mali shat had la photo oui f lebnon,Negative
@_BigBen__ @L7argouss @ucef79 kayn Chi man9diw ? Sme3t sou9 rassek toussa,Neutral
@wiihuda Rialto kan 3endi m3ah,Neutral
@fahadalmotry hhhhhh ahssan chii howa l bloque khalanaa nitfada ktirr nass,Neutral
@laafyamusic @diib_diibologie Hhh rtnood twra fi ljara mn b3d trak dual pause,Neutral
"@Ssoukiana @HananeElKhader allah ywaf9ak, wysahal 3lik ya rab",Positive
@8dadLA fakertini 3andi wa7ed sa7bi 3roubi en vacances en ce moment 3andek Hahaha msawer m3a nejma dial Tom Cruise 😂😂😂 Goultlo tafertih 😂😂😂,Negative
Ta kifach bnadem 3ndi l3otla dl3id,Neutral
@Shoupayla bach n3awdo n9raw man s1 f ENCGT maskhawch bina,Neutral
@aminaf14 @IbtissamTiskat mni ina w9t onti ghabra bach n9olole jadid hhh,Neutral
@hananeouell hadi hya the original fiha lmal7 ou sokar ou mabaghach tmot,Neutral
@abdennourzo @Cwijdane Rah real madrid hadi en fin de compte hna rir kan tfarjo li wa3r wa3r 11 32...,Positive
DB ANA N3AS W NOUD NTFRAJ F LIVE D RM WLA NB9A FAY9A HTA NTFRAJ W N3AS #BTSBBMAs,Neutral
"Ana 2aret khara keteer abl keda, but this.... https://t.co/2rrjmwIoRg",Neutral
@kawtarmarso1 @Crunsh_Ships @B3dOmre00 @Betystar10 @IbtissamTiskat wayééh dak xi li kayén wdak xi li kay3arfoo,Neutral
@najwakaram najwa najwa cho hal lalbum wallla inatra kanit btista7a2 3adi hal mara iza tawalti li2ano ra7 tnazli chi khayal,Neutral
#IbtissamTiskat ana tfarjt waa9fa o ma9dartch nthark mn hda tv ....hhh...daba 3aabach jiiit ....diro liha 39al kant zwwina b sawt bassouma,Positive
@raaaaaaaahz Sowel chhal trinina f cp nta jamais feti stage corona aaaa hadchi mqwd,Neutral
United f mahab ri7,Negative
"@KarimaWehbe @ShuAlAkhbar @HaifaWehbe @Haifaholics Done kouki ! Karima Hadu kayntab9 3lihum matal """"huwa 💩 bas mfakar halu 🍫 chocolat """"",Negative
@risouni salam kidayar labas 3lik natmana tkoune labas https://t.co/IVoGZy2gKp,Positive
@Sufyanoiaque wa saafi ghemtona bmyrath barak aw akhouya nk7tihoum hhhhhhh (lbassiste dyalhoum anis jouini kaydirli jm ltsawri f ig l7wa),Neutral
@li_ame_senegal Qui dfa mel ni hamenako dh,Neutral
@souhilabintarab @Kahina_ProuDZ @ur_conscience01 @ShahraaZed La hgra hadi suhila Cht9olli l Tiskatyin li yhabouk ow9fo m3aak @Algerienne_1,Neutral
@Wafati2 slmm howa lighadi i9admmm,Neutral
Ana winta a7la talateee,Neutral
