review,label
داسيا فقدت أهم ميزة كانت تميزها وهي السعر للأسف !,negative
لاأظنها ستنجح كالنسخ الأولى,negative
Khas ykon tghyir mbanch li lfar9 rir fa dizayn lkrasa mikanik tablo fih dak lblstik lmryat 3lach mdyrinch lhm daw volm mzl kif mahwa jwant kifma howa fin kyn lfr9 fdizyn ama ljiti tchof mkynch fra9 fra9 howa y9riban 40% mli kt9ol l3mrya hdi bnsba li ana nas 3morya ama l3morya kolchi daw mzl khsha whd 10 ans wnchofo ana knfdl dacia l9dima,negative
هناك اختيارات أحسن وماركات عالميه أجود من داصيا.,negative
غالية بزاف..مكاينش شي تغيير ..غير غايتها. هداك هو التغيير لي درتوه..خليوها عندكم,negative
"الخوت متشريوهاش دابا راه ولات غالية 
وخصوصاً اصحاب الكريدي راه نسبة الفائدة مرتفعة",negative
غالية بزاف. هادي جهدها 13 مليون لا أكثر.,negative
هاد الأسعار غالية عليها ،كاين ماحسن و بمراحل,negative
كل شيء جميل في هذه السيارة الجميلة إﻻ الجودة واﻹتقان؟,negative
غاااالية وماصالحة لوالو ممكن تاخد سيارة يابانية وتخدم بيها 40 عام بلا مشاكل,negative
غالية  بزاف,negative
شرا واحد دابا لوغان بريستيج تقامت عليه كاملة ب17 ونص مليون 😁 فورميكا كثرت زواق بحال إلى غتسكن فيها ناقصها غير طواليط والويفي,negative
Fiat Tipo sedan ahsen menha b 21 millions,negative
عجلات الخلفية صغااااار مقارنة لطموبيل مهزوزة و مشاداش الأرض... سطابيليزاسو و ماشي فيابل و بلا ميرقابح،معايا شي حد,negative
داسيا مزال مطورت الامان مزال مدارو ديسك فران عجلات خلفية,negative
التغيير الوحيد لوكو علاش هاذ الثمن!!!!,negative
واش بصاح فيها مشكل استهلاك الزيت,neutral
داصيا مشات بعيد في التمان لا غير,negative
من عندي ماتستاهلش هاد الثمن,negative
لا علاقة,negative
Lhal jowa t3ri 3la ktafk otchri lfraka olbstiliya,neutral
احسن حاجة تصبني بيها هما الكبسولات ديال اريال غزاليين ماكينش بحالهم جربي غير وحدة وردي عليا الاخبار راه تيتباعو ديطاي ب 3 دراهم للوحدة عند مالين مواد التنظيف,positive
ديري تيد في ساشي تاع خضرة وحزمها وليحها وسط لحويج,neutral
اختي التيد ديال بيم كيدير هكاك مازوينش,negative
اريل احسن,positive
Omomatic zwin kaykhli hâta riha zwin fi hwayj,positive
L7wayj lbaydin makaysla7 lihom rir aryil ama lwan nas7k b flota makaykchfch l7wayj okay5arj mzn howa likandi ola kan lbyad kanzid m3ah javel,neutral
اومو واعر,positive
واش ليكيد ولا بودر انا كندير ليك طوب ريخة و نقاوة و مكتينش هدشي لي قلتي,neutral
Omo matin makichefchi hewayej kohal,negative
راه زوينين بجوج,positive
كنستعمل هادا ليكيد أحسن .,positive
