content,sentiment
صراحة في المستوى المطلوب إلى كان بي العربية أفضل,positif
موقع غبي ومعقد و ضعيف و يستعمل الفرنسية وحدها,negatif
رائعة جدا جدا 😊,positif
ثمن الإرسال اصبح 30 درهم للمنتج و 60 درهم لي 2 منتج فما فوق .اصبح غالي,negatif
تأخير في توصيل الطلب حتى اد كان منتج عليه توصيل سريع سعر توصيل مرتفع مع تأخير امر مزعج بالإضافة ليوجد تقيم على المنتجات,negatif
احتيال,negatif
التصالتطبيق مزيان من حيث الفكرة، حيث كيجمع جميع العروض والتخفيضات ديال مرجان فمكان واحد وكيعاون المستخدم يوفّر الوقت والجهد فالتسوق. الواجهة واضحة وسهلة الاستعمال، وكتخلي التصفح بسيط حتى للمبتدئين. لكن فبعض الأحيان كاين بطء فتحميل الصفحات وتأخر فظهور المحتوى، وهاد الشي كيأثر شوية على التجربة العامة. كذلك بعض الخصائص خاصها تحسين وتطوير باش يكون الأداء أكثر استقرار وسلاسة. إلى تم التركيز على هاد النقاط فالتحديثات الجاية، غادي يكون التطبيق عملي ومفيد بزاف للاستعمال اليومي شكرن لكوم كتيران علا هادا,positif
لا يمكنني استخدام الكوبونات الخاصة بي تطبيق جد سيء,negatif
سيئ,negatif
جمل 🇲🇦 🌹,positif
برنامج فاشل لا يدعم لغة العربية 👎🏽👎🏽👎🏽👎🏽 قمة عدم الاحترام,negatif
جميل وقد طلبة بعض منتجات و جودتها جيد,positif
رائع لكنه لا يدعم اللغه العربيه,positif
جميل جداا إنه يستحق أكثر من 5نجوم,positif
رائع جدا 😁,positif
سلام عليكم ورحمة الله وبركاته عمل جيد جدا,positif
شكرا لكم جميعا تطبيق روعة,positif
أسطورية,positif
موقع للتجارة الالكترونية,positif
جميل جيد,positif
المرجو إضافة اللغة العربية لأن بعض الناس لا تتقن اللغات الأجنبية وشكرا,neutre
يحتاج لعمل اكثر قمية توصيل لامعنى لها هناك متاجر مغربية تعمل توصيل مجاني وانتم تفرضون 20 درهم او اكثر بعض الاحيان نحاول طلب 2 منتوجات تصل منفصل وكل واحد تصل قبل الاخرى ب 24 ساعة لمادا لاترسلونهم في دفعة واحد مع ثمن شامل البيع,negatif
كل احترامي وتقدري لكم ومن يسهر علي دالك هائل ورائع لم تعجبكة بضاعة لاكة حق في ارجاعها ويرجعونا لك مالك بكل بساطة شهادة لي لله في مناسبتين رائع ❤️❤️❤️❤️❤️❤️ يستحق اكثر من 5نجمات,positif
خصو بزاف باش اوصل المستوى توقغات 1.اللغة العربية 2. لومبارج ضغيف 3 .جودة شحن أصبحت مكلفة تصل حتى 7 أيام 4. إطهار تقيمات الزبناء وتحربتهم ولايجب اخفاء تجربة الزبون للمنتوح للات هذه يضعف شراء وثقة بالموقع 5. تطبيق ثقيل ولايعمل على بعض الاجهزة ويصعب تصفح 6.. إظهار معلومات حول المتتج بغض البائعين يخالفون سياسة شراء ولا يقدمون معلومات كافية حةل المنتج أو مضلله .. وشكرا ✅️نتمنى تحسيت,negatif
واو,positif
الر بح الربح,positif
أعمال رائعة جدا,positif
الروعة والجمال,positif
تطبيق مفاجئ بالعربيه كله بالفرنسيه,neutre
تتسهج,negatif
ناقص,negatif
لفرونسي لاش 😡 تيمو وكيدعم العربية علي إكسبريس كاع تطبيقات الأجنبية كدعم العربية هذا كولو فرونسي,negatif
شوكران,positif
للاسف التطبيق لا يعمل على هواتف هواوي,neutre
الحشيه كذب وخداع,negatif
التطبيقات التي لاتدعم اللغة العربية لا اتعمل معها,negatif
عمل جيد ومزيد من العمل والتألق,positif
جيد,positif
اللغة العربية هي الأصل وإلا فلا,negatif
حلو,positif
خدمة عملاء فرنسية توصيل بطيء فرض رسوم التوصيل عدم الاستجابة للطلبات لا انصح به,negatif
احسن تعامل انا اشتريت منهم 6 مرات,positif
حرفيا اسوء تطبيق اسوء تطبيقات اللي دخلت اسوء تطبيقات حرفيا تطبيق غير جيد ابدا😡😡,negatif
الخدمة جيدة نوعا ما ،لاكن إستخدام اللغة الفرنسية يزيد الأمر تعقيدا ،وعبر عن مدا قلت الأدب ،لأن المتجر موجه للمغرب ،والمغرب اللغة الرسمية فيه ،هي اللغة العربية،وليست مجبرا على تعلم اللغة الفرنسية من أجل فهم ما يقال. لذالك نرجو منكم ،إحترامنا قليلا ،وذالك من خلال هذه الخطوات: - أن يتم إضافة اللغة العربية إلى الموقع ،والتطبيق على الهاتف المحمول. - أن يتم تغيير طريقة الكلام ،وذالك من خلال التكلم بلغة مفهوم على حسب المتكلم. -الإعتماد على تقريب المعلومة ،وتبسيطها للعميل.,neutre
هدا التطبيق جيد جداً يمنحك الربح من 200 درهم إلى 1000 درهم قوم بي تحميل وفوز,positif
لا يدعم اللغة العربية هذا مشكلة كبيرة عليكم بي اللغة العربية في أقرب وقت ممكن مثل تيمو علي إكسبرس و جوميا,negatif
من الأفضل جعل التطبيق باللغة الصينية لانها الاكثر انتشارا في المغرب فانا كمثل المغاربة الذين لايفهمون الفرنسيه نرجوا منكم ايجاد تطبيق باللغة الصينية لانها المتداولة بكثرة عندنا في المغرب وشكرا,negatif
1000DH كدبة,negatif
فكرة إنشاء متجر الكتروني مغربي ممتازة ، و لكن التطبيق لا زال يحتاج العديد من المراجعات أهمها إضافة اللغة العربية، تطوير خانة البحث عن المنتجات ، و إزالة رسوم التوزيع المبالغ فيها و الذي يجب أن يكون بالمجان و الوفاء بسياسة الإسترجاع ( غير كتهدرو هدرة خاوية و مكترجعوش للناس فلوسهم ملي كيلقاو المنتج نتاعهم و كيلقاوه غير مطابق للمعايير في الوصف ) .,negatif
المرجو معالجة الشكلة عدم ظهور الصور وشكرا,negatif
لا بأس به يحتاج إلى اللغة العربية ، لا سيما ونحن فى دولة لغتها الأولى العربية ، إذا لم نعتز بلغتينا العربية والامازيغية فمن يعتز بهما!؟ لا تعظموا لغة المستعمر فيحتقركم.,negatif
تشرفنا بمشاركتكم معكم في مرجان,positif
لا يريد تسجيل الدخول الى حسابي,negatif
رائعة,positif
رائع جدا,positif
تطبيقات أجنبية تعمل باللغة العربية وتطبيق مغربي كمرجان نجد اللغة الفرنسية فقط ، أرجو أن تعالجوا هذه النقطة,negatif
نصب والاحتيال مستخدمي تطبيق هاد شركة مختصة في نصب على مستخديها شريت منتوج وصلني على 10 ايام خلصت المنتوج مشيت الدار درتو فضو طلع مخدامش درت روتور فلابليكاسيو رجع فلوسي بدون نتيجة تمة نصب عليا وخة انا كنت شفت ناس فالمواقع تواصل الاجتماعي عودو على تجربة سيئة وتنصب عليهوم متسوقتش تا لقيت نفسي تا انا ضحية من هاد شركة الوهمية لنصب والاحتيال,negatif
جييد,positif
عادي,negatif
تطبيق مفيد,positif
تطبيق رائع لكن فيه مشكل بسيط ألا و هو الصور التي بضعونها في بعض الأحيان تكون أكبر أو أصغر من الصورة,positif
انا من صباح مخاري مع باش نحول لغة عربية في خر نݣيتها يالها من خيبات أمل,positif
بغيت نجرب شريت برودوي جبتو الدار مخدامش مكملاش 3 دقائق داو الفلوس او عطاونا زبل منين تبغي ترد فلوسك حيت كتشوف راسك شمتوك كيمرضوك تقول نتا ديك الفلوس لاقيها فزبل,negatif
تطبيق رائع جدا انه رائع جدا ومفيد,positif
راءع,positif
التطبيق يتعامل مع فرنسيين و ليس مع مغاربة لغتهم العربية,negatif
فاشل,negatif
لا افهم لمادا انتم مصرون على اللغة الفرنسية وانتم في البلد عربي,negatif
عندما تضاف اللغة العربية إلى هذا التطبيق سوف يكون تقييمي خمس نجوم وشكراً,negatif
