Token,Type
وكاين,neutre
بحالي,neutre
لي,neutre
عارف,neutre
ماغايجيه,neutre
والو,neutre
و,neutre
ماكايتسناش,neutre
راضي,positive
بالنصيب,neutre
مسلخير,positive
صديقي,neutre
الله,neutre
يجيب,neutre
يفهمنا,positive
يهدينا,positive
كاين,neutre
امل,positive
هاد,neutre
العام,neutre
داكشي,neutre
انا,neutre
كاندير,neutre
خير,positive
البر,positive
عاجلة,neutre
عمرك,neutre
تندم,negative
حيت,neutre
درتي,neutre
النية,positive
ماكنحلفش,neutre
بالله,neutre
على,neutre
الكذوب,negative
صافي,neutre
ان,neutre
شاء,neutre
الرسائل,neutre
بخط,neutre
اليد,neutre
ماعمرها,neutre
جاتني,neutre
شي,neutre
وحدة,neutre
فايتة,neutre
تصويرة,neutre
لرسالة,neutre
مفرحة,positive
ربي,neutre
يخليك,positive
امين,positive
يجيبو,neutre
تعطل,neutre
عليا,neutre
يكون,neutre
ف,neutre
العون,neutre
يسمح,positive
ليك,neutre
مشرفين,positive
حتى,neutre
غادي,neutre
نبدا,neutre
قريبا,neutre
جدا,neutre
نتا,neutre
عادي,neutre
ارادة,neutre
قوية,neutre
برافو,positive
عليها,neutre
المغرب,neutre
كلو,neutre
زوين,neutre
ا,neutre
العايل,neutre
بسم,neutre
عاوني,neutre
منين,neutre
بالتوفيق,positive
للي,neutre
عندهم,neutre
اختبارات,neutre
بغيت,neutre
لك,neutre
العز,positive
والنصر,positive
يحفظك,positive
يا,neutre
رب,neutre
مسا,neutre
الخير,positive
الزين,positive
ديالنا,neutre
مدينة,neutre
جميلة,positive
وناسها,neutre
دراوش,positive
ارحموا,neutre
واجعل,neutre
مثواه,neutre
الجنة,positive
يارب,neutre
العالمين,neutre
اكيد,neutre
خويا,neutre
بالاخص,neutre
ولاد,neutre
الدراويش,neutre
ولمعندهم,neutre
باش,neutre
اشروا,neutre
الحلوه,neutre
اقول,neutre
لهم,neutre
كل,neutre
سنة,neutre
وانتم,neutre
بخير,positive
وسعاده,neutre
برافوا,positive
عليك,neutre
آلله,neutre
سهل,neutre
الف,neutre
مبروك,positive
ويجعل,neutre
بعدا,neutre
انافس,neutre
بكل,neutre
روح,neutre
رياضية,neutre
اممم,neutre
اكتر,neutre
من,neutre
أمتالك,neutre
يسهل,neutre
فؤاد,neutre
حافض,neutre
لابتسامة,positive
ديالك,neutre
ديما,neutre
نعم,neutre
أخاي,neutre
يونس,neutre
صحيح,neutre
يرحم,positive
قراك,neutre
تحياتي,positive
قرار,neutre
محلو,positive
قصة,neutre
الأندلس,neutre
القصص,neutre
كتعجبني,positive
بزاف,neutre
خصوصا,neutre
الفترة,neutre
ديال,neutre
عبد,neutre
الرحمان,neutre
الداخل,neutre
بصحتو,positive
تبرع,positive
مع,neutre
راسك,neutre
كنحترم,positive
الرأي,neutre
جبتيها,neutre
لاصقة,neutre
مبروووك,positive
فوز,positive
قطر,neutre
بالكأس,neutre
الأسيوية,neutre
وليمت,negative
الحساد,negative
بغيضهم,negative
يسخر,negative
فيه,neutre
يحفضو,positive
يسلمك,positive
يفاجيها,positive
أخويا,neutre
عندك,neutre
الزهر,neutre
الجمال,positive
في,neutre
البساطة,positive
داك,neutre
صباح,neutre
أخيرا,neutre
الويكند,neutre
الراحة,positive
ؤ,neutre
السياحة,neutre
نهاركم,neutre
الكلام,neutre
تيخرج,neutre
القلب,positive
يصل,neutre
إلى,neutre
مباشرة,neutre
تحية,positive
لناس,neutre
الرجا,neutre
يعاونو,positive
مسكين,neutre
مساء,neutre
الإخوة,neutre
الأخوات,neutre
خدموا,neutre
تبوكصوا,positive
راسكم,neutre
أو,neutre
تهلاو,neutre
الوالدين,neutre
أهم,neutre
حاجة,neutre
الصميم,positive
الصيف,neutre
هنا,neutre
مكاين,neutre
غي,neutre
الإحتفالات,positive
بنت,neutre
بلادي,neutre
كاع,neutre
متخلعي,neutre
رابحين,positive
إنشاء,neutre
الأمور,neutre
النهار,neutre
العيد,positive
لجميع,neutre
بالأفراح,positive
والمسرات,positive
ما,neutre
تمنيتو,neutre
فكرة,neutre
زوينة,positive
أ,neutre
الصديق,neutre
لعز,positive
كادوا,neutre
مني,neutre
أخونا,neutre
بالعزيمة,positive
والإرادة,neutre
القوية,neutre
بعيدة,neutre
توصل,neutre
يعاونك,positive
أمين,positive
ممشا,neutre
معاك,neutre
باس,neutre
اخويا,neutre
يشافيه,positive
او,neutre
يهون,positive
عليه,neutre
الألم,negative
يسمحنا,positive
الواليدين,neutre
توحشتهم,positive
العظيم,positive
يشافي,positive
المرضى,neutre
يرحمه,positive
