Text,product,sentiment,Class
ماكينة عجباتني كاتحيد شعر من الجدر ومكاتخليش لاطراس,hair trimmer,Positive,1
 واعرة كاتشد الشارج لمدة طويلة وساهلة فالخدمة ديالها,hair trimmer,Positive,1
زوينة وصغيرة ومطيورة كيما كايقولو هههه، فلوسها حلال زوينة وعملية شكرا لكم,hair trimmer,Positive,1
 عاد جابوهاليا التوصيل كان فالمستوى والمنتوج وصلني كيما شفتو وعملي,hair trimmer,Positive,1
👌🏻 رهييييب حرفياً انصح فيه,hair trimmer,Positive,1
طلبت واحد قبل يومين وصلي اليوم تماما متل ماشفت بالإعلان ، يعطيكم العافية 😍,hair trimmer,Positive,1
يعطيكم العافية وصلني المنتج وجربته يعمل بشكل. جيد,hair trimmer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم,hair trimmer,Positive,1
شكرا بزاف راني فرحانة والله على هاد المنتج الله اجازيكم بخير,hair removal machine,Positive,1
شريت هاد المنتج الزوجة ديالي كانو رجليها فيهم الشعر صغير ملقاتش ليه الحل باش متلاش ينمو حتى خديت هاد المنتج والله ارحم ليكم الوالدين,hair removal machine,Positive,1
كان الشعر ديال البط ديالي دايما معدبني والحمد الله لقيت هاد المنتج عندكم وخديتو ودبا راني مهنية شكرا مرة أخرى,hair removal machine,Positive,1
مبقيتش كنمشي عند الكوافورة منين شريت هاد hair dryer,hair dryer,Positive,1
الله اعطيكم الصحة على التوصيل السريع كنت محتاجاه بسرعة شكرا مرة أخرى,hair dryer,Positive,1
شكرا بزاف وفر ليا بزاف ديال الوقت,hair dryer,Positive,1
شريت هاد المنتج لزوجة ديالي راه الشعر ديالها ولا غاية فالروعة,hair dryer,Positive,1
بصراحة احسن هدية شريت لي راسي وراجلي في هاد الشهر,hair trimmer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم صراحة التعامل زوين,hair trimmer,Positive,1
طلبت واحد البارح وصلني اليوم صراحة المنتج كيف ماشفت بالإعلان ، يعطيكم العافية 😍,hair trimmer,Positive,1
اشكركم على المصداقيه وعلى حسن التعامل,hair trimmer,Positive,1
كنت من حمل نشوف فراسي فالمرايا حتى شريت هاد المنتج شكرا بزاف,Body Slimming Belt,Positive,1
جربتو زوين بزاف معندي منقول,Body Slimming Belt,Positive,1
شكرا بزاف,Body Slimming Belt,Positive,1
الله اعطيكم الصحة منتج رائع,hair removal machine,Positive,1
معندي منقول الله ارحم ليكم الوالدين,hair removal machine,Positive,1
التوصيل كان سريع متوقعتوش الله اعطيكم الخير,hair removal machine,Positive,1
منتج زوين بزاف شكرا راه الصديقات ديولي بغاوه,hair removal machine,Positive,1
من نهار جربتو مدازت شهرين الشعر متلاش كينوض نهائهيا شكرا بزاف ليكم,hair removal machine,Positive,1
شكرا بزاف راني فرحانة والله على هاد المنتج الله اجازيكم بخير,hair removal machine,Positive,1
شريت هاد المنتج الزوجة ديالي كانو رجليها فيهم الشعر صغير ملقاتش ليه الحل باش متلاش ينمو حتى خديت هاد المنتج والله ارحم ليكم الوالدين,hair removal machine,Positive,1
كان الشعر ديال البط ديالي دايما معدبني والحمد الله لقيت هاد المنتج عندكم وخديتو ودبا راني مهنية شكرا مرة أخرى,hair removal machine,Positive,1
طلبت واحد قبل يوم وصلي اليوم تماما كيف ما شفت بالإعلان 😍,Mixer,Positive,1
احسن هدية تقدر تشريها في رمضان لي راسك ولي عزيز عليك,Mixer,Positive,1
صراحة كنت كنقول مغادي ينفعني في والو ولكن غير جربتو حسيت بالفرق,Mixer,Positive,1
منتج جيد شكرا لكم وصلني في مدة يوم من الطلب شكرا لكم,Mixer,Positive,1
مزيونة وخا تمنيت لو كان الحجم ديالها كبر,Mixer,Positive,1
عصارة واعرة هناتني من لعصير بيدي,Mixer,Positive,1
رائعة كنصحكم بها لجميع المناسبات بحال رمضان,Mixer,Positive,1
عملية وسهلة في الاستعمال٠ شكرا,Mixer,Positive,1
طلبت واحد قبل يومين وصلي اليوم تماما متل ماشفت بالإعلان ، يعطيكم العافية,Mixer,Positive,1
