userName,content,score,sentiment,at,app_name
Hamid El jayedi,صراحة في المستوى المطلوب إلى كان بي العربية أفضل,5,positif,2026-04-09 03:08:42,Marjane Mall
ميكانيك turbo ceinture الحياة تقافة عامة,موقع غبي ومعقد و ضعيف و يستعمل الفرنسية وحدها,1,negatif,2026-04-03 16:13:57,Marjane Mall
Mareyam Mareyam,رائعة جدا جدا 😊,5,positif,2026-03-30 18:16:19,Marjane Mall
Mohamed Elaimadi,ثمن الإرسال اصبح 30 درهم للمنتج و 60 درهم لي 2 منتج فما فوق .اصبح غالي,1,negatif,2026-03-28 08:38:13,Marjane Mall
Mar,تأخير في توصيل الطلب حتى اد كان منتج عليه توصيل سريع سعر توصيل مرتفع مع تأخير امر مزعج بالإضافة ليوجد تقيم على المنتجات,1,negatif,2026-02-16 18:30:41,Marjane Mall
Mohamed Elmsyah,احتيال,1,negatif,2026-02-08 13:13:54,Marjane Mall
Hiba Lolo,التصالتطبيق مزيان من حيث الفكرة، حيث كيجمع جميع العروض والتخفيضات ديال مرجان فمكان واحد وكيعاون المستخدم يوفّر الوقت والجهد فالتسوق. الواجهة واضحة وسهلة الاستعمال، وكتخلي التصفح بسيط حتى للمبتدئين. لكن فبعض الأحيان كاين بطء فتحميل الصفحات وتأخر فظهور المحتوى، وهاد الشي كيأثر شوية على التجربة العامة. كذلك بعض الخصائص خاصها تحسين وتطوير باش يكون الأداء أكثر استقرار وسلاسة. إلى تم التركيز على هاد النقاط فالتحديثات الجاية، غادي يكون التطبيق عملي ومفيد بزاف للاستعمال اليومي شكرن لكوم كتيران علا هادا,5,positif,2026-02-07 20:19:47,Marjane Mall
Malhi Family,لا يمكنني استخدام الكوبونات الخاصة بي تطبيق جد سيء,1,negatif,2026-02-04 17:05:36,Marjane Mall
مصطفى خليل,سيئ,1,negatif,2026-02-04 10:53:50,Marjane Mall
سامي كريكش,جمل 🇲🇦 🌹,5,positif,2026-01-27 18:57:09,Marjane Mall
faisal ahmed atrak,برنامج فاشل لا يدعم لغة العربية 👎🏽👎🏽👎🏽👎🏽 قمة عدم الاحترام,1,negatif,2026-01-21 18:44:59,Marjane Mall
simo simo,جميل وقد طلبة بعض منتجات و جودتها جيد,5,positif,2026-01-18 08:28:14,Marjane Mall
Aya Zerki,رائع لكنه لا يدعم اللغه العربيه,4,positif,2026-01-14 12:01:26,Marjane Mall
Ssliman Lkouch,جميل جداا إنه يستحق أكثر من 5نجوم,5,positif,2026-01-11 15:40:08,Marjane Mall
Nassima Bakim,رائع جدا 😁,5,positif,2026-01-07 20:18:17,Marjane Mall
Mohamed Suoliman,سلام عليكم ورحمة الله وبركاته عمل جيد جدا,5,positif,2026-01-03 20:16:16,Marjane Mall
Mohammed amine larhlimi,شكرا لكم جميعا تطبيق روعة,5,positif,2025-12-25 11:52:10,Marjane Mall
Souad Maroki,أسطورية,5,positif,2025-12-19 21:18:47,Marjane Mall
يوسف العرفاوي,موقع للتجارة الالكترونية,4,positif,2025-12-16 21:52:50,Marjane Mall
Meriem Meriem,جميل جيد,5,positif,2025-12-09 11:14:52,Marjane Mall
Simo Bibas,المرجو إضافة اللغة العربية لأن بعض الناس لا تتقن اللغات الأجنبية وشكرا,3,neutre,2025-12-01 20:54:23,Marjane Mall
العميد الطنجاوي,يحتاج لعمل اكثر قمية توصيل لامعنى لها هناك متاجر مغربية تعمل توصيل مجاني وانتم تفرضون 20 درهم او اكثر بعض الاحيان نحاول طلب 2 منتوجات تصل منفصل وكل واحد تصل قبل الاخرى ب 24 ساعة لمادا لاترسلونهم في دفعة واحد مع ثمن شامل البيع,1,negatif,2025-11-29 00:14:44,Marjane Mall
ॐꋪꋊॐBahara Rachid,كل احترامي وتقدري لكم ومن يسهر علي دالك هائل ورائع لم تعجبكة بضاعة لاكة حق في ارجاعها ويرجعونا لك مالك بكل بساطة شهادة لي لله في مناسبتين رائع ❤️❤️❤️❤️❤️❤️ يستحق اكثر من 5نجمات,5,positif,2025-11-26 17:01:58,Marjane Mall
