label,keyword,video_id,comment,author,likes,date,reply_count
FUNNY,emojis_rire(😂),mOsxCje8Mzk,شكون كايتفرج من 2026😂,@IkhlassElhannaoui-f6j,2,2026-04-16T15:43:28Z,0
FUNNY,emojis_rire(😂😂),mOsxCje8Mzk,شكون كايتفرج من2026😂😂,@روميساءالسعداوي,0,2026-03-23T15:45:04Z,1
FUNNY,rires_arabe(هههههههههههههههههههه),mOsxCje8Mzk,هههههههههههههههههههه😂😂😂😂😂😂😂,@DonKing-t4c,1,2026-02-22T19:42:55Z,0
FUNNY,emojis_rire(😂😂😂),mOsxCje8Mzk,1:41😂😂😂,@SoukeinaOmar-l6w,0,2026-02-09T13:05:13Z,1
FUNNY,emojis_rire(😂😂😂😂😂😂😂😂😂),mOsxCje8Mzk,3:19 😂😂😂😂😂😂😂😂😂,@farahelfatehy3103,0,2026-02-06T09:38:18Z,0
FUNNY,emojis_rire(😂😂😂),mOsxCje8Mzk,شكون كعود فديوهات 😂😂😂,@GsmDog,0,2026-02-02T23:23:08Z,0
FUNNY,emojis_rire(😂),mOsxCje8Mzk,لا 2026 😂❤,@ALAEARID,1,2026-02-01T15:21:20Z,0
FUNNY,emojis_rire(🤣🤣),mOsxCje8Mzk,kolchi 3la lkta lkhra🤣🤣,@anasofficialchannel-b5j,0,2026-01-23T20:13:03Z,0
FUNNY,emojis_rire(😂),mOsxCje8Mzk,شكون كيتفرج من ش2026😂❤,@yt_uncleramox,0,2026-01-03T21:10:56Z,0
FUNNY,emojis_rire(😂),mOsxCje8Mzk,شكون لي كيتفرج في 2025❤😂,@FatimaMahfoudi-v6k,2,2025-11-18T17:09:17Z,0
FUNNY,rires_arabe(ههههههههههههههه),mOsxCje8Mzk,ههههههههههههههه ههههههههههههههه ههههههههههههههه 😂😂😂😂,@Souad-h8k,0,2025-11-17T21:24:29Z,0
FUNNY,emojis_rire(😂),mOsxCje8Mzk,شكون من 2026 😂❤توحشنا الايمن تحية ليك ❤,@MaryamKhiyari-b9o,1,2025-10-22T23:11:33Z,0
FUNNY,emojis_rire(😂😂😂😂😂😂),mOsxCje8Mzk,كلشي على اللقطة الآخيرة 😂😂😂😂😂😂,@FatimaZaaboul-l3s,0,2025-09-01T21:34:38Z,0
